Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
95.725,mousemove,988,354,,,,,,,1536,738,,,TRUE
95.829,mousemove,632,130,,,,,,,1536,738,,,TRUE
97.422,tab-switch,,,,,,,,,,,blur,,TRUE
103.096,tab-switch,,,,,,,,,,,focus,,TRUE
103.416,mousemove,195,4,,,,,,,1536,738,,,TRUE
103.520,mousemove,540,287,,,,,,,1536,738,,,TRUE
103.622,mousemove,736,417,,,,,,,1536,738,,,TRUE
103.727,mousemove,795,464,,,,,,,1536,738,,,TRUE
103.972,click,828,480,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,TRUE
104.216,mousemove,830,480,,,,,,,1536,738,,,TRUE
104.368,mousemove,843,477,,,,,,,1536,738,,,TRUE
105.262,paste,,,,,,,,,,,paste,"def factorial_recursive(n):
    """"""
    Calculates the factorial of a non-negative integer using rec",TRUE
104.650,mousemove,818,460,,,,,,,1536,738,,,TRUE
104.859,mousemove,816,460,,,,,,,1536,738,,,TRUE
104.962,mousemove,746,457,,,,,,,1536,738,,,TRUE
105.105,click,720,454,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,TRUE
105.113,mousemove,720,454,,,,,,,1536,738,,,TRUE
105.217,mousemove,744,460,,,,,,,1536,738,,,TRUE
105.258,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,v,,,,,,,TRUE
105.320,mousemove,860,485,,,,,,,1536,738,,,TRUE
105.423,mousemove,1048,513,,,,,,,1536,738,,,TRUE
105.720,mousemove,1060,515,,,,,,,1536,738,,,TRUE
105.829,mousemove,1090,513,,,,,,,1536,738,,,TRUE
105.932,mousemove,1146,524,,,,,,,1536,738,,,TRUE
106.035,mousemove,1250,528,,,,,,,1536,738,,,TRUE
106.138,mousemove,1306,525,,,,,,,1536,738,,,TRUE
106.405,mousemove,1334,529,,,,,,,1536,738,,,TRUE
106.507,mousemove,1272,521,,,,,,,1536,738,,,TRUE
106.611,mousemove,1241,520,,,,,,,1536,738,,,TRUE
106.713,mousemove,1232,521,,,,,,,1536,738,,,TRUE
106.817,mousemove,1216,523,,,,,,,1536,738,,,TRUE
106.920,mousemove,1248,545,,,,,,,1536,738,,,TRUE
107.023,mousemove,1350,578,,,,,,,1536,738,,,TRUE
107.267,click,1368,593,button,,inline-flex items-center justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-10 px-4 py-2,,,,1536,738,,,TRUE
107.326,mousemove,1364,590,,,,,,,1536,738,,,TRUE
107.429,mousemove,1133,485,,,,,,,1536,738,,,TRUE
107.532,mousemove,1062,457,,,,,,,1536,738,,,TRUE
107.785,mousemove,1061,457,,,,,,,1536,738,,,TRUE
107.889,mousemove,972,430,,,,,,,1536,738,,,TRUE
108.005,mousemove,948,424,,,,,,,1536,738,,,TRUE
108.108,mousemove,932,413,,,,,,,1536,738,,,TRUE
108.211,mousemove,904,369,,,,,,,1536,738,,,TRUE
108.524,mousemove,886,340,,,,,,,1536,738,,,TRUE
108.629,mousemove,860,298,,,,,,,1536,738,,,TRUE
108.769,mousemove,853,289,,,,,,,1536,738,,,TRUE
108.871,mousemove,852,282,,,,,,,1536,738,,,TRUE
109.023,mousemove,850,273,,,,,,,1536,738,,,TRUE
109.349,mousemove,850,270,,,,,,,1536,738,,,TRUE
110.394,mousemove,850,266,,,,,,,1536,738,,,FALSE
110.496,mousemove,833,309,,,,,,,1536,738,,,FALSE
110.599,mousemove,828,321,,,,,,,1536,738,,,FALSE
110.862,mousemove,826,324,,,,,,,1536,738,,,FALSE
110.963,mousemove,824,334,,,,,,,1536,738,,,FALSE
111.090,mousemove,822,338,,,,,,,1536,738,,,FALSE
111.196,mousemove,820,338,,,,,,,1536,738,,,FALSE
